Glass Name,Source,Elastic Modulus,Poisson's Ratio,Shear Modulus,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Specific Heat,Tensile Strength,Compressive Strength
ALPASE K100-S ALUMINUM,Custom,71016000.15,0.33,N/A,2.38E-05,2657.271602 kg/m³,140.189535,N/A,282685049.1,N/A
MIC6 ALUMINUM,Custom,71016013735,0.33,27000012632,0.000013,2700.001083 kg/m³,142,900,165474206.8,N/A
7075-T7351 ALUMINUM BAR,Custom,7.10E+10,0.33,2.69E+10,2.16E-05,2800.0 kg/m³,155,960,434000000,7.24E+10
15-5 PH STAINLESS STEEL,Custom,N/A,N/A,N/A,10.8,7800.0 kg/m³,17.9,N/A,1441004275,N/A
17-4 PH STAINLESS STEEL,Custom,2.00E+11,0.3,7.72E+10,11.9,7750.375488 kg/m³,24.700001,515,999739968,N/A
17-4 PH 1150 SS,Custom,2.00E+11,0.3,7.72E+10,11.9,7750.375488 kg/m³,24.700001,515,999739968,N/A
17-7 PH STAINLESS STEEL,Custom,1.99948E+11,0.3,77221298176,0.000006,7750.375488 kg/m³,24.700001,515,999739968,N/A
18-8 STAINLESS STEEL,Custom,1.99948E+11,0.3,77221298176,0.000006,7750.375488 kg/m³,24.700001,515,999739968,N/A
300 SERIES STAINLESS STEEL,Custom,2000000000,0.394,318900000,N/A,8000.0 kg/m³,0.2256,1386,30000000,N/A
302 STAINLESS STEEL,Custom,7.10E+10,0.33,7.72E+10,9.60E-05,7999.494629 kg/m³,142,900,619838784,N/A
303 STAINLESS STEEL,Custom,71016013824,0.33,77221296488,0.000096,7999.494718 kg/m³,142,900,619838799.5,N/A
304 STAINLESS STEEL,Custom,71016013824,0.33,77221298176,0.000096,7999.494629 kg/m³,142,900,619838784,N/A
304N STAINLESS STEEL,Custom,1.93E+11,0.33,318900000,18.9,8000.0 kg/m³,0.2256,500,620000000,N/A
316 STAINLESS STEEL,Custom,1.93E+11,0.285,7.70E+10,1.60E-05,8000.0 kg/m³,16.3,500,580000000,N/A
400 SERIES S.S,Custom,71016013824,0.33,77221298176,0.000096,7999.494629 kg/m³,142,900,619838784,N/A
410 STAINLESS STEEL,Custom,2.00E+11,0.33,7.72E+10,9.90E-06,7805.73533 kg/m³,24.9,460,1525120606,N/A
416 STAINLESS STEEL,Custom,2.00E+11,0.33,8.30E+10,9.90E-06,7800.0 kg/m³,24.9,460,515000000,N/A
430 SERIES STAINLESS STEEL,Custom,2.00E+11,0.28,6.50E+10,0.0000105,7800.0 kg/m³,27,490,475000514.4,289993491.9
440 STAINLESS STEEL,Custom,71016013824,0.33,77221298176,0.000096,7999.494629 kg/m³,142,900,619838784,N/A
440C STAINLESS STEEL,Custom,2.04E+11,0.283,8.41E+10,0.0000102,7805.73533 kg/m³,24.2,460,758423302.6,N/A
455 STAINLESS STEEL,Custom,1.99948E+11,0.3,77221296488,0.000006,7750.375505 kg/m³,24.7,515,999739999.2,N/A
"AISI 1018 STEEL, COLD DRAWN",Custom,2.05E+11,0.29,8.00E+10,N/A,7861.095155 kg/m³,51.9,485.669,439885515.5,N/A
AISI 4150 STEEL,Custom,1.99948E+11,0.3,77221298176,0.000006,7750.375488 kg/m³,24.700001,515,999739968,N/A
INVAR-36,Custom,1.48E+11,0.29,7.72E+10,0.0000013,8049.318359 kg/m³,11.1,515,448000736,N/A
SUPER INVAR 32-5,Custom,1.45E+11,0.29,N/A,8.40E-07,8137.89 kg/m³,10,502.416,482633010.7,N/A
CARBON STEEL,Custom,2.10E+11,0.28,7.90E+10,1.30E-05,7800.0 kg/m³,43,4.40E+02,4.00E+08,N/A
ASTM A36 STEEL,Custom,2.00E+11,0.26,7.93E+10,1.50E-05,7861.095155 kg/m³,47,420,420507000,N/A
BOROSILICATE,Custom,62750000000,0.2,28085999616,0.000003,2180.0 kg/m³,1.2,821,N/A,N/A
CAF2,Custom,6.50E+10,0.261,2.55E+10,9.00E-06,3180.0 kg/m³,1.011,595,N/A,N/A
CORNING 7056,Custom,6400000000,0.21,2700000000,0.000005,2290.0 kg/m³,0.895,830,N/A,N/A
FUSED SILICA,Custom,9.10E+10,0.24,2.81E+10,5.10E-07,2200.0 kg/m³,1.64,821,N/A,N/A
NG-1,Custom,2.00E+09,0.394,3.19E+08,N/A,1020.0 kg/m³,0.2256,1.39E+03,3.00E+07,N/A
PYREX,Custom,90999996416,0.278,28085999616,0.000007,3710.0 kg/m³,1.64,574,N/A,N/A
SAPPHIRE,Custom,9.10E+10,0.24,2.81E+10,0.000007,2200.0 kg/m³,1.64,821,N/A,N/A
SILICON,Custom,65000001536,0.261,25489999872,0.000009,3370.0 kg/m³,1.011,595,N/A,N/A
UG-1,Custom,90999996416,0.206,28085999616,0.000007,2770.0 kg/m³,1.114,858,N/A,N/A
ULE,Custom,6770000000,0.176,26200000000,0,22000.0 kg/m³,1.31,766,N/A,N/A
ZERODUR,Custom,9.03E+10,0.243,8.20E+10,0,2530.0 kg/m³,1.46,820,564680700,N/A
ZIRCONIA,Custom,2E+11,0.22,90407002112,0.000012,5680.001088 kg/m³,1.675,877.960022,172340000,551489984
BOROFLOAT,Custom,6.28E+10,0.2,2.81E+10,3.00E-06,2180.0 kg/m³,1.2,821,N/A,N/A
QUARTZ,Custom,0,0.2,0,3.00E-06,2180.0 kg/m³,1.2,821,N/A,N/A
SUPRASIL,Custom,7.00E+10,0.17,0,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
SUPRASIL 312 ,Custom,7.00E+10,0.17,0,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
KBr,Custom,N/A,0.138,N/A,N/A,2753.0 kg/m³,N/A,N/A,N/A,N/A
SODA LIME FLOAT GLASS,Custom,7.20E+10,0.23,N/A,8.30E-06,2530.0 kg/m³,0.937,880,N/A,N/A
SUPRASIL 2 GRADE A,Custom,70000,0.17,N/A,N/A,2200.0 kg/m³,1.38,N/A,50,1150
UV FUSED SILICA,Custom,9.10E+10,0.24,3.10E+10,N/A,2200.0 kg/m³,1.38,770,5.40E+10,N/A
AMTIR-1,Custom,1.3E+11,0.3,50000000000,N/A,4400.0 kg/m³,64,321.9,30000000,N/A
CLEARTRAN (ZnS),Custom,74500000000,0.28,3.189E+14,N/A,4090.0 kg/m³,27.2,515,3E+13,N/A
