Glass Name,Source,Elastic Modulus,Poisson's Ratio,Shear Modulus,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Specific Heat,Tensile Strength,Compressive Strength
H-F4,Other,N/A,0,N/A,0.0000079,2670.0 kg/m³,N/A,N/A,N/A,N/A
H-K9L,Other,N/A,0,N/A,8.30E-06,2520.0 kg/m³,N/A,N/A,N/A,N/A
H-LAFL5,Other,N/A,0,N/A,0.0000074,3710.0 kg/m³,N/A,N/A,N/A,N/A
H-LAK7,Other,N/A,N/A,N/A,0.000006,3820.0 kg/m³,N/A,N/A,N/A,N/A
H-LAK4L,Other,N/A,0,N/A,0.0000063,2990.0 kg/m³,N/A,N/A,N/A,N/A
H-QF1,Other,N/A,0,N/A,0.0000095,2550.0 kg/m³,N/A,N/A,N/A,N/A
H-ZF52A,Other,N/A,N/A,N/A,0.0000092,3520.0 kg/m³,N/A,N/A,N/A,N/A
H-ZK9A,Other,N/A,0,N/A,0.0000064,3530.0 kg/m³,N/A,N/A,N/A,N/A
E-FD4,Hoya,N/A,0.256,N/A,8.70E-06,3230.0 kg/m³,0.2256,N/A,N/A,N/A
S-NPH2,Other,9.91E+10,0.249,3.97E+10,7.00E-06,3580.0 kg/m³,0.969,550,N/A,N/A
S-NPH1,Other,89300000768,0.25,35719999488,0.000008,3290.0 kg/m³,0.882,550,N/A,N/A
S-NBH51,Other,1.10E+11,0.253,4.38E+10,7.00E-06,3290.0 kg/m³,1.124,550,N/A,N/A
S-NBH8,Other,1.02E+11,0.25,4.07E+10,8.00E-06,3190.0 kg/m³,1.052,550,N/A,N/A
S-NBH5,Other,9.02E+10,0.248,3.61E+10,7.00E-06,3020.0 kg/m³,0.965,550,N/A,N/A
S-NBM51,Other,81700000000,0.243,32864000000,0.000006,2930.0 kg/m³,0.904,550,N/A,N/A
S-FTM16,Other,6.53E+10,0.238,2.64E+10,9.00E-06,2640.0 kg/m³,0.947,550,N/A,N/A
S-YGH51,Other,1.222E+11,0.291,47328000000,0.000006,4400.0 kg/m³,0.842,550,N/A,N/A
S-LAH79,Other,1.26E+11,0.297,4.84E+10,6.00E-06,5230.0 kg/m³,0.957,550,N/A,N/A
S-LAH66,Other,1.22E+11,0.291,4.72E+10,6.00E-06,4230.0 kg/m³,0.845,550,N/A,N/A
S-LAH65,Other,1.258E+11,0.295,48571000000,0.000006,4760.0 kg/m³,0.833,550,N/A,N/A
S-LAH64,Other,1.224E+11,0.294,47295000000,0.000006,4300.0 kg/m³,0.856,550,N/A,N/A
S-LAH63,Other,1.12E+11,0.295,4.33E+10,6.00E-06,4340.0 kg/m³,0.849,550,N/A,N/A
S-LAH60,Other,1.248E+11,0.296,48148000768,0.000006,4430.0 kg/m³,0.872,550,N/A,N/A
S-LAH59,Other,1.25E+11,0.298,4.82E+10,6.00E-06,5070.0 kg/m³,0.816,550,N/A,N/A
S-LAH58,Other,1.268E+11,0.301,48732000256,0.000007,5520.0 kg/m³,0.827,550,N/A,N/A
S-LAH55,Other,1.25E+11,0.296,4.82E+10,6.00E-06,4730.0 kg/m³,0.846,550,N/A,N/A
S-LAH53,Other,1.13E+11,0.299,4.34E+10,6.00E-06,4430.0 kg/m³,0.86,550,N/A,N/A
S-LAH52,Other,1.12E+11,0.297,4.31E+10,6.00E-06,4410.0 kg/m³,0.828,550,N/A,N/A
S-LAH51,Other,1.13E+11,0.297,4.35E+10,6.00E-06,4400.0 kg/m³,0.826,550,N/A,N/A
S-LAM66,Other,1.21E+11,0.28,4.73E+10,8.00E-06,3550.0 kg/m³,1.602,550,N/A,N/A
S-LAM61,Other,9.37E+10,0.29,3.63E+10,7.00E-06,4100.0 kg/m³,0.732,550,N/A,N/A
S-LAM60,Other,1.13E+11,0.294,4.37E+10,5.00E-06,4060.0 kg/m³,0.845,550,N/A,N/A
S-LAM59,Other,1.01E+11,0.277,3.94E+10,7.00E-06,3770.0 kg/m³,0.847,550,N/A,N/A
S-LAM58,Other,9.19E+10,0.279,3.59E+10,7.00E-06,4000.0 kg/m³,0.771,550,N/A,N/A
S-LAM55,Other,9.67E+10,0.292,3.74E+10,7.00E-06,4220.0 kg/m³,0.741,550,N/A,N/A
S-LAM54,Other,1.17E+11,0.292,4.54E+10,6.00E-06,4080.0 kg/m³,0.891,550,N/A,N/A
S-LAM52,Other,9.57E+10,0.278,3.74E+10,8.00E-06,3950.0 kg/m³,0.801,550,N/A,N/A
S-LAM51,Other,1.01E+11,0.278,3.94E+10,7.00E-06,3790.0 kg/m³,0.867,550,N/A,N/A
S-LAM7,Other,9.70E+10,0.273,3.81E+10,7.00E-06,3810.0 kg/m³,0.871,550,N/A,N/A
S-LAM3,Other,8.68E+10,0.294,3.35E+10,8.00E-06,4250.0 kg/m³,0.655,550,N/A,N/A
S-LAM2,Other,935000000,0.295,36100000000,0.000007,4320.0 kg/m³,0.698,550,N/A,N/A
S-LAL61,Other,1.19E+11,0.291,4.61E+10,6.00E-06,4040.0 kg/m³,0.861,550,N/A,N/A
S-LAL59,Other,1.14E+11,0.293,4.40E+10,5.00E-06,4040.0 kg/m³,0.863,550,N/A,N/A
S-LAL58,Other,9.28E+10,0.285,3.61E+10,8.00E-06,4030.0 kg/m³,0.728,550,N/A,N/A
S-LAL56,Other,9.11E+10,0.28,3.56E+10,7.00E-06,3850.0 kg/m³,0.778,550,N/A,N/A
S-LAL54,Other,8.77E+10,0.277,3.43E+10,7.00E-06,3820.0 kg/m³,0.761,550,N/A,N/A
S-LAL18,Other,1.204E+11,0.289,46703000000,0.000006,4180.0 kg/m³,0.871,550,N/A,N/A
S-LAL14,Other,1.12E+11,0.284,4.35E+10,6.00E-06,3700.0 kg/m³,0.908,550,N/A,N/A
S-LAL13,Other,1.07E+11,0.29,4.16E+10,6.00E-06,3600.0 kg/m³,0.893,550,N/A,N/A
S-LAL12,Other,90999996416,0.284,35435999232,0.000007,4010.0 kg/m³,0.717,550,N/A,N/A
S-LAL10,Other,1.06E+11,0.294,4.10E+10,6.00E-06,3860.0 kg/m³,0.85,550,N/A,N/A
S-LAL9,Other,1.075E+11,0.287,41763999744,0.000006,3630.0 kg/m³,0.895,550,N/A,N/A
S-LAL8,Other,1.14E+11,0.289,44220000000,0.000006,3790.0 kg/m³,0.894,550,N/A,N/A
S-LAL7,Other,9.58E+10,0.271,3.77E+10,7.00E-06,3730.0 kg/m³,0.825,550,N/A,N/A
S-TIH53,Other,96000000000,0.266,37915000832,0.000009,3540.0 kg/m³,1,550,N/A,N/A
S-TIH23,Other,9.22E+10,0.26,3.66E+10,9.00E-06,3300.0 kg/m³,0.992,550,N/A,N/A
S-TIH18,Other,8.91E+10,0.248,3.57E+10,8.00E-06,3070.0 kg/m³,1.029,550,N/A,N/A
S-TIH14,Other,8.88E+10,0.254,3.54E+10,9.00E-06,3170.0 kg/m³,1.027,550,N/A,N/A
S-TIH13,Other,8.99E+10,0.249,3.60E+10,8.00E-06,3100.0 kg/m³,1.034,550,N/A,N/A
S-TIH11,Other,9.12E+10,0.255,3.63E+10,9.00E-06,3240.0 kg/m³,1.017,550,N/A,N/A
S-TIH10,Other,1.02E+11,0.243,4.12E+10,8.00E-06,3060.0 kg/m³,1.043,550,N/A,N/A
S-TIH6,Other,9.31E+10,0.261,3.69E+10,9.00E-06,3370.0 kg/m³,1.011,550,N/A,N/A
S-TIH4,Other,91900000000,0.254,36643000000,0.000008,3150.0 kg/m³,1.01,550,N/A,N/A
S-TIH3,Other,9.08E+10,0.254,3.62E+10,8.00E-06,3110.0 kg/m³,1.027,550,N/A,N/A
S-TIH1,Other,88400000000,0.247,35445000000,0.000008,3060.0 kg/m³,1.018,550,N/A,N/A
S-TIM39,Other,8.17E+10,0.246,3.28E+10,9.00E-06,2920.0 kg/m³,0.988,550,N/A,N/A
S-TIM35,Other,8.75E+10,0.238,3.53E+10,8.00E-06,2960.0 kg/m³,1.049,550,N/A,N/A
S-TIM28,Other,85500000000,0.242,34420000000,0.000008,2980.0 kg/m³,1.006,550,N/A,N/A
S-TIM27,Other,7.93E+10,0.236,3.21E+10,8.00E-06,2760.0 kg/m³,1.035,550,N/A,N/A
S-TIM25,Other,8.41E+10,0.236,3.40E+10,8.00E-06,2910.0 kg/m³,1.046,550,N/A,N/A
S-TIM22,Other,7.98E+10,0.238,3.22E+10,8.00E-06,2790.0 kg/m³,1.024,550,N/A,N/A
S-TIM8,Other,7.50E+10,0.231,3.05E+10,8.00E-06,2630.0 kg/m³,1.034,550,N/A,N/A
S-TIM5,Other,7.63E+10,0.233,3.09E+10,8.00E-06,2630.0 kg/m³,1.04,550,N/A,N/A
S-TIM3,Other,7.79E+10,0.229,3.17E+10,8.00E-06,2670.0 kg/m³,1.044,550,N/A,N/A
S-TIM2,Other,77600000000,0.23,31545000000,0.000008,2690.0 kg/m³,1.394,550,N/A,N/A
S-TIM1,Other,7.86E+10,0.234,3.18E+10,8.00E-06,2710.0 kg/m³,1.043,550,N/A,N/A
S-TIL27,Other,7.49E+10,0.217,3.08E+10,7.00E-06,2580.0 kg/m³,1.07,550,N/A,N/A
S-TIL26,Other,7.39E+10,0.222,3.02E+10,8.00E-06,2570.0 kg/m³,1.054,550,N/A,N/A
S-TIL25,Other,7.53E+10,0.22,3.09E+10,7.00E-06,2590.0 kg/m³,1.054,550,N/A,N/A
S-TIL6,Other,6.48E+10,0.146,2.83E+10,8.00E-06,2500.0 kg/m³,1.059,550,N/A,N/A
S-TIL2,Other,6.99E+10,0.22,2.86E+10,8.00E-06,2520.0 kg/m³,1.051,550,N/A,N/A
S-TIL1,Other,7.05E+10,0.222,2.88E+10,9.00E-06,2540.0 kg/m³,1.039,550,N/A,N/A
S-PHM53,Other,7.08E+10,0.285,2.75E+10,9.00E-06,3510.0 kg/m³,0.615,550,N/A,N/A
S-PHM52,Other,71500000000,0.292,27670000000,0.00001,3670.0 kg/m³,0.599,550,N/A,N/A
S-BAH32,Other,9.04E+10,0.26,3.59E+10,7.00E-06,3260.0 kg/m³,0.921,550,N/A,N/A
S-BAH28,Other,9.11E+10,0.213,3.76E+10,7.00E-06,3670.0 kg/m³,0.889,550,N/A,N/A
S-BAH27,Other,9.36E+10,0.272,3.68E+10,6.00E-06,3670.0 kg/m³,0.869,550,N/A,N/A
S-BAH11,Other,9.29E+10,0.274,3.65E+10,7.00E-06,3590.0 kg/m³,0.858,550,N/A,N/A
S-BAH10,Other,96200000000,0.273,37785000000,0.000007,3480.0 kg/m³,0.902,550,N/A,N/A
S-BAM12,Other,9.04E+10,0.253,3.61E+10,8.00E-06,3180.0 kg/m³,0.954,550,N/A,N/A
S-BAM4,Other,7.62E+10,0.244,3.06E+10,8.00E-06,2910.0 kg/m³,0.931,550,N/A,N/A
S-BAM3,Other,7.71E+10,0.242,3.10E+10,8.00E-06,2750.0 kg/m³,0.965,550,N/A,N/A
S-BAL42,Other,8.47E+10,0.246,3.40E+10,7.00E-06,3190.0 kg/m³,0.974,550,N/A,N/A
S-BAL41,Other,8.90E+10,0.242,3.58E+10,8.00E-06,2780.0 kg/m³,1.043,550,N/A,N/A
S-BAL35,Other,83200000000,0.25,33280000000,0.000006,3310.0 kg/m³,0.915,550,N/A,N/A
S-BAL14,Other,81100000000,0.24,32702000000,0.000008,2890.0 kg/m³,0.967,550,N/A,N/A
S-BAL12,Other,7.10E+10,0.161,3.06E+10,9.00E-06,2750.0 kg/m³,0.982,550,N/A,N/A
S-BAL11,Other,8.19E+10,0.237,3.31E+10,7.00E-06,3020.0 kg/m³,0.974,550,N/A,N/A
S-BAL3,Other,7.19E+10,0.249,2.88E+10,1.00E-05,2980.0 kg/m³,0.864,550,N/A,N/A
S-BAL2,Other,7.27E+10,0.245,2.92E+10,9.00E-06,2890.0 kg/m³,0.901,550,N/A,N/A
S-NSL36,Other,6.40E+10,0.139,2.81E+10,8.00E-06,2460.0 kg/m³,1.089,550,N/A,N/A
S-NSL5,Other,6.91E+10,0.14,3.03E+10,8.00E-06,2490.0 kg/m³,1.058,550,N/A,N/A
S-NSL3,Other,7.00E+10,0.217,2.88E+10,9.00E-06,2480.0 kg/m³,1.026,550,N/A,N/A
S-NBH55,Other,1.05E+11,0.269,4.38E+10,8.20E-06,3490.0 kg/m³,0.994,550,N/A,N/A
S-BSM81,Other,1.06E+11,0.271,4.16E+10,6.00E-06,3060.0 kg/m³,1.001,550,N/A,N/A
S-BSM71,Other,8.62E+10,0.273,3.39E+10,7.00E-06,3740.0 kg/m³,0.773,550,N/A,N/A
S-BSM28,Other,8.53E+10,0.258,3.39E+10,8.00E-06,3230.0 kg/m³,0.878,550,N/A,N/A
S-BSM25,Other,9.51E+10,0.272,3.74E+10,7.00E-06,3500.0 kg/m³,0.891,550,N/A,N/A
S-BSM22,Other,8.74E+10,0.265,3.45E+10,7.00E-06,3240.0 kg/m³,0.916,550,N/A,N/A
S-BSM18,Other,8.85E+10,0.268,3.49E+10,7.00E-06,3690.0 kg/m³,0.815,550,N/A,N/A
S-BSM16,Other,8.78E+10,0.262,3.48E+10,7.00E-06,3590.0 kg/m³,0.835,550,N/A,N/A
S-BSM15,Other,8.54E+10,0.265,3.38E+10,6.00E-06,3600.0 kg/m³,0.845,550,N/A,N/A
S-BSM14,Other,8.49E+10,0.257,3.38E+10,6.00E-06,3430.0 kg/m³,0.891,550,N/A,N/A
S-BSM10,Other,8.35E+10,0.266,3.30E+10,6.00E-06,3600.0 kg/m³,0.822,550,N/A,N/A
S-BSM9,Other,8.65E+10,0.264,3.42E+10,6.00E-06,3220.0 kg/m³,0.916,550,N/A,N/A
S-BSM4,Other,8.16E+10,0.264,3.23E+10,7.00E-06,3570.0 kg/m³,0.836,550,N/A,N/A
S-BSM2,Other,7.80E+10,0.264,3.09E+10,6.00E-06,3530.0 kg/m³,0.802,550,N/A,N/A
S-BSL7,Other,8.00E+10,0.205,3.32E+10,7.00E-06,2520.0 kg/m³,1.13,550,N/A,N/A
S-FSL5,Other,62300000000,0.227,25387000000,0.000009,2460.0 kg/m³,1.007,550,N/A,N/A
S-FPL53,Other,6.91E+10,0.303,2.65E+10,1.40E-05,3620.0 kg/m³,0.857,550,N/A,N/A
S-FPL52,Other,7.17E+10,0.299,2.76E+10,1.30E-05,3530.0 kg/m³,0.849,550,N/A,N/A
S-FPL51,Other,7.27E+10,0.299,2.80E+10,1.30E-05,3620.0 kg/m³,0.78,550,N/A,N/A
PBM2Y,Other,N/A,0.223,N/A,8.60E-06,3610.0 kg/m³,0.814,N/A,N/A,N/A
BSL7Y,Other,N/A,0.207,N/A,68,2500.0 kg/m³,1.182,N/A,30000000,N/A
S-FPM3,Other,8.06E+10,0.291,N/A,1.15E-05,3640.0 kg/m³,0.805,N/A,N/A,N/A
S-FPM2,Other,7.50E+10,0.287,N/A,1.17E-05,4170.0 kg/m³,0.624,N/A,N/A,N/A
S-NBH56,Other,1.07E+11,0.249,N/A,0.00077,3490.0 kg/m³,1.12,N/A,N/A,N/A
S-NBH53,Other,1.10E+11,0.236,4.38E+10,7.00E-06,3280.0 kg/m³,1.124,550,N/A,N/A
SF6HT,Schott,5.50E+10,0.244,2.21E+10,8.00E-06,5180.0 kg/m³,0.673,389,N/A,N/A
SF66,Schott,51000000512,0.258,20270000128,0.000009,6025.0 kg/m³,0.53,340,N/A,N/A
SF6,Schott,54999998464,0.244,22109999104,0.000008,5180.0 kg/m³,0.673,389,N/A,N/A
SF57HHT,Schott,54000001024,0.248,21629999104,0.000008,5510.0 kg/m³,0.62,360,N/A,N/A
SF57,Schott,54000001024,0.248,21629999104,0.000008,5510.0 kg/m³,0.62,360,N/A,N/A
SF56A,Schott,57000001536,0.239,23000000512,0.000008,4920.0 kg/m³,0.65,410,N/A,N/A
SF5,Schott,56000000000,0.233,22709999616,0.000008,4070.0 kg/m³,0.65,410,N/A,N/A
SF4,Schott,56000000000,0.241,22560000000,0.000008,4790.0 kg/m³,0.65,410,N/A,N/A
SF2,Schott,54999998464,0.227,22410000384,0.000008,3860.0 kg/m³,0.735,498,N/A,N/A
SF15,Schott,59999997952,0.235,24290000896,0.000008,4060.0 kg/m³,0.77,440,N/A,N/A
SF14,Schott,65000001536,0.231,26400000000,0.000007,4540.0 kg/m³,0.77,440,N/A,N/A
SF11,Schott,65999998976,0.235,26720000000,0.000006,4740.0 kg/m³,0.737,431,N/A,N/A
SF10,Schott,64000000000,0.232,25969999872,0.000008,4280.0 kg/m³,0.741,465,N/A,N/A
SF1,Schott,56000000000,0.232,22730000384,0.000008,4460.0 kg/m³,0.74,465,N/A,N/A
P-SK57,Schott,92659998720,0.249,37090000896,0.000007,3012.0 kg/m³,1.01,760,N/A,N/A
P-PK67,Schott,90199998464,0.248,36139999232,0.000006,4236.0 kg/m³,0.79,530,N/A,N/A
P-PK53,Schott,59370000384,0.271,23360000000,0.000013,2827.0 kg/m³,0.64,770,N/A,N/A
P-LASF47,Schott,1.1956E+11,0.298,46060000,0.000006,4538.0 kg/m³,0.85,550,N/A,N/A
N-ZK7,Schott,70000001024,0.214,28829999104,0.000005,2490.0 kg/m³,1.042,770,N/A,N/A
N-SSK8,Schott,83999997952,0.251,33570000896,0.000007,3268.0 kg/m³,0.84,640,N/A,N/A
N-SSK5,Schott,87999995904,0.278,34430001152,0.000007,3710.0 kg/m³,0.81,580,N/A,N/A
N-SSK2,Schott,82000003072,0.261,32509999104,0.000006,3525.0 kg/m³,0.81,580,N/A,N/A
N-SK5,Schott,8.40E+10,0.256,3.34E+10,5.00E-06,3300.0 kg/m³,0.99,560,N/A,N/A
N-SK4,Schott,83999997952,0.261,33309999104,0.000006,3535.0 kg/m³,0.83,570,N/A,N/A
N-SK2,Schott,7.80E+10,0.263,3.09E+10,0.000006,3550.0 kg/m³,0.776,595,N/A,N/A
N-SK16,Schott,89000001536,0.264,35209998336,0.000006,3580.0 kg/m³,0.818,578,N/A,N/A
N-SK15,Schott,83999997952,0.265,33199998976,0.000007,3620.0 kg/m³,0.77,570,N/A,N/A
N-SK14,Schott,86000001024,0.261,34100000768,0.000006,3440.0 kg/m³,0.851,636,N/A,N/A
N-SK11,Schott,79000002560,0.239,31879999488,0.000006,3080.0 kg/m³,1.03,770,N/A,N/A
N-SF8,Schott,87999995904,0.245,35340001280,0.000009,2904.0 kg/m³,1.03,770,N/A,N/A
N-SF6HT,Schott,92999999488,0.262,36849999872,0.000009,3369.0 kg/m³,0.96,690,N/A,N/A
N-SF66,Schott,94900002816,0.259,37689999360,0.000006,3996.0 kg/m³,0.8,540,N/A,N/A
N-SF64,Schott,87999995904,0.245,35340001280,0.000008,2989.0 kg/m³,0.98,750,N/A,N/A
N-SF6,Schott,92999999488,0.262,36849999872,0.00001,3369.0 kg/m³,0.96,690,N/A,N/A
N-SF57HT,Schott,96000000000,0.26,38100000768,0.000008,3533.0 kg/m³,0.99,660,N/A,N/A
N-SF57,Schott,96000000000,0.26,38100000768,0.000008,3533.0 kg/m³,0.99,660,N/A,N/A
N-SF56,Schott,90999996416,0.255,36250001408,0.000009,3280.0 kg/m³,0.94,700,N/A,N/A
N-SF5,Schott,8.70E+10,0.237,3.52E+10,8.00E-06,2858.0 kg/m³,1,770,N/A,N/A
N-SF4,Schott,89999998976,0.256,35830001664,0.000009,3145.0 kg/m³,0.95,760,N/A,N/A
N-SF15,Schott,89999998976,0.243,36200001536,0.000008,2921.0 kg/m³,1.04,760,N/A,N/A
N-SF14,Schott,88300003328,0.259,35070001152,0.000009,3118.0 kg/m³,1,750,N/A,N/A
N-SF11,Schott,92000002048,0.257,36600000512,0.000009,3224.0 kg/m³,0.95,710,N/A,N/A
N-SF10,Schott,86999998464,0.252,34739998720,0.000009,3050.0 kg/m³,0.96,740,N/A,N/A
N-SF1,Schott,89999998976,0.25,35999997952,0.000009,3025.0 kg/m³,1,750,N/A,N/A
N-PSK53A,Schott,76130000896,0.288,26549999616,0.000009,3568.0 kg/m³,0.64,590,N/A,N/A
N-PSK53,Schott,77999996928,0.288,30279999488,0.000009,3600.0 kg/m³,0.99,682,N/A,N/A
N-PSK3,Schott,83999997952,0.226,34260000768,0.000006,2910.0 kg/m³,0.99,682,N/A,N/A
N-PK52A,Schott,70999998464,0.298,27349999616,0.000013,3747.0 kg/m³,0.73,670,N/A,N/A
N-PK51,Schott,73999998976,0.295,28569999360,0.000012,3855.0 kg/m³,0.65,620,N/A,N/A
N-LASF9,Schott,1.0859E+11,0.288,42149998592,0.000008,4410.0 kg/m³,0.79,530,N/A,N/A
N-LASF45,Schott,1.16E+11,0.281,45279997952,0.000009,3626.0 kg/m³,1.02,660,N/A,N/A
N-LASF44,Schott,1.24E+11,0.293,47950000,0.000006,4440.0 kg/m³,0.82,530,N/A,N/A
N-LASF43,Schott,1.14E+11,0.29,44189999104,0.000007,4260.0 kg/m³,0.81,550,N/A,N/A
N-LASF41,Schott,1.24E+11,0.294,47909998592,0.000007,4845.0 kg/m³,0.79,490,N/A,N/A
N-LASF40,Schott,1.11E+11,0.304,42560000000,0.000007,4430.0 kg/m³,0.81,550,N/A,N/A
N-LASF31A,Schott,1.2551E+11,0.301,48240001024,0.000008,5510.0 kg/m³,0.79,440,N/A,N/A
N-LAK9,Schott,1.1E+11,0.285,42800001024,0.000006,3510.0 kg/m³,0.908,649,N/A,N/A
N-LAK8,Schott,1.15E+11,0.289,44609998848,0.000006,3749.0 kg/m³,0.84,620,N/A,N/A
N-LAK7,Schott,9.00E+10,0.277,3.52E+10,7.00E-06,3840.0 kg/m³,0.74,530,N/A,N/A
